Texto,Usuario,Column3,Column4
@vagabundom @usuariotigre69 @carlosjagudelo @elikitty_33 Estás hablando de un ejemplo: vos. Precisamente en ciencia y en medicina necesitamos más que un ejemplo para poder afirmar que algo es cierto “para todo X”,castillobuiles,"Medellín, Colombia",TRUE
"Ah no, vos por mi. https://t.co/ArZ9UZbFA3",emy_parra13," Medellín, Colombia",TRUE
"@sarajmnzlpz La hora de ver esto ???????????????
Lentica siempre!! Yo igual con vos,  me decía ""la Sara tiene estilo y un Flow violento"" .",lfbo_20,"Medellín, Colombia",TRUE
Mero interés le tengo y vos solo me quieres comer :c,ungatocrespo,"Medellín, Colombia",FALSE
"@sarajmnzlpz Mami, aquí lo que hay es calidad y si los demás no la creen yo me monto solita en mi película del chimberio más hpa jajajaja ???? ojalá vos también estés montada en tuya ????",lfbo_20,"Medellín, Colombia",TRUE
@presiCCCyA @portafolio @CeDemocratico @CCConfeccion @ChaconDialoga @velascoluisf @MincomercioCo Espero que personas como vos ayuden a direccionar el gremio de @CCConfeccion hacia un proyecto político que realmente piense en hacer productivo a este país y no simplemente relegado a ser un país importador. Grandes cosas con @JERobledo pueden lograr para la industria nacional.,SanSeSeb,"Medellín, Colombia",FALSE
"@plantofila Yo respondí, ""pie qué vos sos un sapo perro hpta y yo no""",Jairson296,"Antioquia, Colombia",FALSE
"No me funcionan las ideas, porque pienso mucho tiempo en vos",Sarahquietapues,"Medellín, Colombia",FALSE
"@001Noel @MaritaLozano3 Es cierto! No se iran a donde decis vos, pero si gana Kast en Chile, inundaran ese pais. Y gracias a su nutrida ignorancia.",willijhan,"Medellín, Colombia",TRUE
"Y contigo siento que nadie nunca supo quererme de verdad, porque ese amor que vos me das es…??",nataliavallejoa,"Medellín, Colombia",FALSE
"@andresanchezs26 Vos y yo en estadio improvisando esta semana, en que estamos año estamos? 2019 o que?",SoyDuqueBro,"Medellín, Colombia",FALSE
"@Marticalzate @Fruizgomez @AlcaldiadeMed @GobAntioquia Concuerdo con vos: hay que revisar todo lo referente al proceso de vacunación. Ayer, por ejemplo, me acerqué a uno de los puntos de vacunación y me negaron la vacuna por un argumento que carece de todo soporte médico. Además de eso, sembraron terror al decir que me podía morir.",estebanjara,"Medellín, Colombia",TRUE
